epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,4499.78,1.24812,0.73615,0.9724,0.90675,0.71602,0.82387,0.47619,1.33614,0.74062,1.02294,0.0004358,0.0004358,0.0004358
81,4556.08,1.23784,0.7153,0.96623,0.85526,0.75088,0.82301,0.48063,1.32822,0.72816,1.02736,0.000416,0.000416,0.000416
82,4612.27,1.23655,0.73413,0.97071,0.90122,0.71934,0.82117,0.4776,1.32931,0.73721,1.01631,0.0003962,0.0003962,0.0003962
83,4666.52,1.20729,0.70984,0.9581,0.88172,0.72484,0.83676,0.48982,1.30559,0.71459,1.01186,0.0003764,0.0003764,0.0003764
84,4724.31,1.19342,0.69552,0.95522,0.86948,0.74917,0.83293,0.4918,1.31694,0.71939,1.01703,0.0003566,0.0003566,0.0003566
85,4782.72,1.2103,0.70052,0.9562,0.8972,0.73295,0.83422,0.48955,1.31976,0.71238,1.01204,0.0003368,0.0003368,0.0003368
86,4838.88,1.19744,0.68714,0.94766,0.87898,0.7547,0.83961,0.49435,1.3021,0.70609,1.01185,0.000317,0.000317,0.000317
87,4896.29,1.19253,0.69527,0.95245,0.88092,0.75359,0.84423,0.49022,1.31342,0.71238,1.01033,0.0002972,0.0002972,0.0002972
88,4951.42,1.18721,0.69042,0.95705,0.8875,0.74968,0.84355,0.49295,1.30417,0.70264,1.01372,0.0002774,0.0002774,0.0002774
89,5006.05,1.18696,0.68008,0.95125,0.89555,0.74586,0.84143,0.49117,1.30481,0.7251,1.01184,0.0002576,0.0002576,0.0002576
90,5062.37,1.17847,0.67795,0.95317,0.89449,0.74586,0.83642,0.49341,1.29722,0.70692,1.01109,0.0002378,0.0002378,0.0002378
91,5120.03,1.19183,0.6975,0.94923,0.8851,0.73204,0.82396,0.47394,1.32826,0.73725,1.01624,0.000218,0.000218,0.000218
92,5173.92,1.12735,0.6463,0.94025,0.88986,0.73481,0.83096,0.48455,1.32721,0.72008,1.01816,0.0001982,0.0001982,0.0001982
93,5226.12,1.13556,0.64585,0.9348,0.90501,0.72818,0.8304,0.48719,1.31981,0.71268,1.01598,0.0001784,0.0001784,0.0001784
94,5279.77,1.11724,0.63854,0.93278,0.88563,0.74365,0.83473,0.49249,1.30727,0.70481,1.01526,0.0001586,0.0001586,0.0001586
95,5332.81,1.12663,0.6359,0.93306,0.89444,0.76022,0.84341,0.49169,1.29529,0.69471,1.01138,0.0001388,0.0001388,0.0001388
96,5386.13,1.11872,0.63562,0.93446,0.8958,0.75046,0.84389,0.49416,1.30196,0.70466,1.01564,0.000119,0.000119,0.000119
97,5439.82,1.1201,0.62427,0.93508,0.90901,0.72859,0.83791,0.49646,1.30221,0.69968,1.01517,9.92e-05,9.92e-05,9.92e-05
98,5494.15,1.09125,0.61504,0.9242,0.88052,0.75731,0.84305,0.49271,1.29947,0.69265,1.01653,7.94e-05,7.94e-05,7.94e-05
99,5547.84,1.10987,0.62221,0.92579,0.87872,0.75028,0.84023,0.49261,1.29669,0.68883,1.0109,5.96e-05,5.96e-05,5.96e-05
100,5602.37,1.0931,0.61742,0.92469,0.89703,0.74696,0.84087,0.49778,1.28845,0.6891,1.00972,3.98e-05,3.98e-05,3.98e-05
